sentence,suggested ellipsis resolution,ellipsis type,source
"Потом в финале Бернстайн попросил солиста сыграть какие-то безумные штрихи — все наоборот. В перерыве Володя спросил маэстро, почему __. Тот ответил: «Because I am old and my name is Leonard Bernstein» *.",Бернстайн попросил солиста сыграть какие-то безумные штрихи,sluicing,[Сати Спивакова. Не всё (2002)]
"Рафик потерял ко мне интерес, не знаю уж почему __.",Рафик потерял ко мне интерес,sluicing,[Юрий Трифонов. Предварительные итоги (1970)]
"Насколько я могу разглядеть, она мрачнее тучи.  И я знаю, почему __.  Позавчера её оштрафовали на десять рублей — и она из-за этих десяти рублей мучается, ей жалко.",она мрачнее тучи,sluicing,"[Александр Солженицын. В круге первом, т.1, гл. 26-51 (1968) // «Новый Мир», 1990]"
"Вы несколько торопитесь, — сказал он недовольно, — и я не понимаю, почему __.",вы несколько торопитесь,sluicing,"[Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 1 (1943-1958)]"
"Видимо, все то, что произошло, действительно задевало его за живое, и я понимал почему __.
","то, что произошло, действительно задевало его за живое",sluicing,"[Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 3 (1943-1958)]"
Мне и самому тоже почему-то захотелось увидеться с ребятами из нашего класса. Даже не знаю почему __.,мне захотелось увидеться с ребятами из нашего класса,sluicing,"[Валерий Медведев. Баранкин, будь человеком! (1957)]"
"И длинноногий регент с камертоном, который и сам пел и прислушивался к пению других, отчего его лицо выражало невероятное напряжение; мне все это казалось нелепым и ненужным, хотя я не всегда понимал почему __.",мне все это казалось нелепым и ненужным,sluicing,[Гайто Газданов. Вечер у Клэр [начало романа] (1930)]
"А почему я это узнал?  А вот почему __.
 ",я это узнал,sluicing,[А. И. Куприн. Гранатовый браслет (1911)]
"Но это не совсем так, сейчас разберемся почему __.",это не совсем так,sluicing,[Никита Непряхин. Анатомия заблуждений (2017-2020)]
"Потому что мне кажется, он меня недолюбливает. Не знаю, почему __. Я бы хотел познакомиться.",он меня недолюбливает,sluicing,"[Андрей Никитин, Федук. «Я чувачок, у которого получается»: Федук — о себе, Урганте, «Версусе» и околофутболе (2018.04) // Афиша Daily, 2018]"
"Судя по тому, что Читатель этой книги явно не потомок австралопитеков гари, победили Homo, хотя мы и не знаем почему __.",победили Homo,sluicing,[Станислав Дробышевский. Достающее звено. Книга 2. Люди (2017)]
"Другой вопрос, что и художественной литературы читали намного больше, чем сейчас; но нужно разбираться — кто __, где __, какую __ и почему __.","художественной литературы читал намного больше чем сейчас, художественной литературы читали намного больше чем сейчас, художественную литературу читали намного больше чем сейчас, художественной литературы читали намного больше чем сейчас",sluicing,"[А. А. Архангельский, А. А. Данилова. В чем проблемы преподавания литературы в школе?-Александр Архангельский (2016.04) // «Правмир», 2016]"
"Любопытно было бы узнать, выводил ли Ходорковский деньги за границу на протяжении 90-х — и если да, то в каких количествах __, и если нет, то почему __.",выводил Ходорковский деньги за границу на протяжении 90-х,sluicing,[Л. А. Данилкин. Круговые объезды по кишкам нищего (2016)]
"Через месяц как-то забылось это всё, и в очередной раз, чтобы прервать его лихорадочные речи и раскатывания по комнате, она сама спросила, как давно он занимается фотографией и почему __.",он занимается фотографией,sluicing,"[В. М. Шапко. Синдром веселья Плуготаренко // «Волга», 2016]"
В целом по году розница может свалиться на 8.5-9 процентов. И понятно почему __.,в целом по году розница может свалиться на 8.5-9 процентов,sluicing,"[Александр Ивантер, Андрей Клепач. Длинные, эмиссионные, меченые // «Эксперт», 2015]"
"Я думаю, он даже не соображал, куда идет и зачем __.",идет,sluicing,[Фазиль Искандер. Тринадцатый подвиг Геракла (1966)]
"Экой ты, Моргач, чудной, братец: тебя зовут в кабак, а ты еще спрашиваешь, зачем __.",тебя зовут в кабак,sluicing,[И. С. Тургенев. Певцы (1850)]
"Конечно, он был воткнут преднамеренно, только зачем __?..",он был воткнут,sluicing,"[Елена Акимова. Тайна девятнадцатого слоя стоянки Лиственка // «Наука в России», 2014]"
"Спасибо, что вообще пришел. Хотя не совсем понятно зачем __.",пришел,sluicing,[Алексей Моторов. Преступление доктора Паровозова (2013)]
"Я хочу знать, кто взломал мой пароль, когда __ и зачем __.","взломал мой пароль, взломал мой пароль",sluicing,[Алексей Иванов. Комьюнити (2012)]
"Ирина металась по квартире, хотела бежать, но не знала куда __.",бежать,sluicing,"[Токарева Виктория. Своя правда // «Новый Мир», 2002]"
"— Вот уж где административный ресурс будет использован на всю катушку! И легко догадаться, за кого __.. ",административный ресурс будет использован на всю катушку,sluicing,"P. Rudnev, D. Kasenov, V. Zhukova, I. Tarasov"
"Как ему деньги зарабатывать? Опыт подсказывает, как __...",ему зарабатывать деньги,sluicing,"P. Rudnev, D. Kasenov, V. Zhukova, I. Tarasov"
"Считается, что в правительстве обязательно должна быть женщина. Но никто не скажет, зачем.",в правительстве обязательно должна быть женщина,sluicing,"P. Rudnev, D. Kasenov, V. Zhukova, I. Tarasov"
"Пэт с мужем собирается в Россию за ребенком из детского дома. Пока еще не знает, каким __. Мы обязательно с ней съездим в Брянск и все вам расскажем.",ребенком из детского дома она собирается в Россию,sluicing,"P. Rudnev, D. Kasenov, V. Zhukova, I. Tarasov // [Игорь Свинаренко. Дети людям не игрушка (1997) // «Столица», 29.09.1997]"
"Крупные наши фирмы надо страховать. И пример с «Росно» нас научил, как __.",надо страховать крупные наши фирмы,sluicing,"P. Rudnev, D. Kasenov, V. Zhukova, I. Tarasov"
"А юбилеев в этом году у меня сразу четыре. Объясняю, почему __.",у меня сразу четыре юбилея в этом году,sluicing,"P. Rudnev, D. Kasenov, V. Zhukova, I. Tarasov"
"Да ты здесь когда-нибудь хоть один дорожный указатель видел? — Видел. Один раз. Но не помню, где __.",видел,sluicing,"P. Rudnev, D. Kasenov, V. Zhukova, I. Tarasov"
— Зачем тебе золото? Костя тоскливо смотрел в речную даль. — Сам не знаю зачем __…,мне золото,sluicing,"P. Rudnev, D. Kasenov, V. Zhukova, I. Tarasov"
"Хотя, как оказалось, многое в жизни кем-то рифмуется. Узнать бы — кем __?! ",рифмуется многое в жизни,sluicing,"P. Rudnev, D. Kasenov, V. Zhukova, I. Tarasov"
"Всякий раз, уходя на работу — в тоннель, Костя брал с собой парабеллум. Не знал, зачем __? ",Костя брал с собой парабеллум всякий раз уходя на работу в тоннель,sluicing,"P. Rudnev, D. Kasenov, V. Zhukova, I. Tarasov"
"В выходах на улицу я нахожу тот самый кайф, который для меня сейчас, как наркотик. Даже сейчас говорю об этом и чувствую [эмоциональный подъем]. Не знаю, почему __.",чувствую эмоциональный подъем,sluicing,"P. Rudnev, D. Kasenov, V. Zhukova, I. Tarasov"
"— К Басте я бы пошел на студию — просто пообщаться. Потому что мне кажется, он меня недолюбливает. Не знаю, почему __.",он меня недолюбливает,sluicing,"P. Rudnev, D. Kasenov, V. Zhukova, I. Tarasov"
"А знаешь, кого я неделю назад видел в городе? — спросил Иван, принимая от Тягина небольшое вознаграждение. Нашего хлопчика в красном платье. И знаешь, с кем __?",я видел неделю назад нашего хлопчика в красном платье,sluicing,"P. Rudnev, D. Kasenov, V. Zhukova, I. Tarasov"
"Здоров, куда пропал? Приходи играть, у нас теперь тренер есть, угадай, кто __!.",у нас тренер,sluicing,"P. Rudnev, D. Kasenov, V. Zhukova, I. Tarasov"
"Кто-то ещё курирует Михаила Афанасьевича? [...] А нельзя ли узнать, кто __?",курирует Михаила Афанасьевича,sluicing,"P. Rudnev, D. Kasenov, V. Zhukova, I. Tarasov"
"Мы с тобой едем, а не знаем, с кем __. ",мы с тобой едем,sluicing,"P. Rudnev, D. Kasenov, V. Zhukova, I. Tarasov"
"Ринат Иосифович предупреждал, что могут быть какие-то последствия, но не сказал, какие __.",могут быть последствия,sluicing,"P. Rudnev, D. Kasenov, V. Zhukova, I. Tarasov"
"Петя в Москву приехал, а Вася в Петербург нет __.",не приехал,polarity_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/polarity_ellipsis.txt
"Ты поговорил и с Васей, и с Петей?
C Васей да __, а с Петей __ нет __.","поговорил, я не поговорил",polarity_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/polarity_ellipsis.txt
"В Москву я хочу поехать, а в Петербург __ нет __.","я, не хочу",polarity_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/polarity_ellipsis.txt
"Когда Петя пришел, я обрадовался, а Вася нет __.",не обрадовался,polarity_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/polarity_ellipsis.txt
"Я видел машину, которую купил Петя, а Вася нет __.",не видел,polarity_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/polarity_ellipsis.txt
"Почему же она расценивается как возможность, а те примеры нет __?",не расцениваются как возможность,polarity_ellipsis,[Форум: комментарии к фильму «Все будет хорошо» (2008-2011)]
"Колючий друг: Может она и милая, но вот предмет — нет __.",не милый,polarity_ellipsis,"[agd-ardin, Колючий друг. Переписка в ICQ (17.12.2007)]"
"А потом уже подумать, включать его или нет.",не включать,polarity_ellipsis,[ast. Запись LiveJournal (2004)]
"Что, вы совсем не говорите между собой по-французски? Если мы вдвоем, то нет __. Ну надо же!",не говорим между собой по-французски,polarity_ellipsis,[benedicte. Запись LiveJournal (2004)]
Хочу — отвечаю на телефонные звонки — хочу — нет __.,не отвечаю на телефонные звонки,polarity_ellipsis,[vmalcolm. Запись LiveJournal (2004)]
"И тут мы не знаем, в какой момент мы почувствуем, а в какой нет __.",не почувствуем,polarity_ellipsis,[Евгений Гришковец. ОдноврЕмЕнно (2004)]
"Марина любит есть суши, а Витя -- нет.",не любит есть суши,polarity_ellipsis,original
"17. 1. На тонких шелковых нитях подвешены две одинаковые легкие бумажные гильзы, одна из них заряжена, другая нет __.",не заряжена,polarity_ellipsis,"[Владимир Лукашик, Елена Иванова. Сборник задач по физике. 7-9 кл. (2003)]"
"Ведь только медик может авторитетно и непредвзято заявить, при какой температуре на какой дистанции можно проводить гонки, а при какой на какой — нет __.",нельзя проводить гонки,polarity_ellipsis,"[Андрей Митьков. Мороз по коже. Этап Кубка мира по лыжам в Токсове провели в экстремальных погодных условиях // «Известия», 2003.01.08]"
"Способности человека выносятся за пределы человека, приобретают собственную (далекую от человеческой) логику и навязывают эту логику человеку, хочет он того или нет.",не хочет,polarity_ellipsis,"[Владимир Николаев. Герберт Маршалл Маклюэн и его книга «Понимание средств коммуникации» // «Отечественные записки», 2003]"
"А проект призван помочь властям определиться, кто традиционно связан с культурным и духовным наследием страны, а кто нет __.",не связан с культурным и духовным наследием страны,polarity_ellipsis,"[Игорь Пылаев. Число избранных // «Еженедельный журнал», 2003.04.08]"
"И пускай люди сами лечатся или выясняют, в группе риска они или нет __.",не в группе риска,polarity_ellipsis,"[Евгений Толстых. Пивка для рывка // «Совершенно секретно», 2003.09.01]"
"То, что ты не вешаешься мне на шею с требованием жениться, не пытаешь — люблю я тебя или нет __.",не люблю,polarity_ellipsis,"[Ольга Зуева. Скажи, что я тебе нужна... // «Даша», 2004]"
"В соответствии с этой статьей вред, причиненный гражданину либо юридическому лицу вследствие недостатков услуги, а также вследствие недостоверной или недостаточной информации об услуге, подлежит возмещению лицом, оказавшим услугу (исполнителем), независимо от его вины и от того, состоял потерпевший с ним в договорных отношениях или нет __.",не состоял с ним в договорных отношениях,polarity_ellipsis,"[Г. Шаров. Федеральный закон «Об адвокатской деятельности и адвокатуре в Российской Федерации» о страховании риска ответственности адвоката (1 часть) // «Адвокат», 2004.12.01]"
"Чтобы получить грубую оценку, нужно задуматься, зачем лично мне она нужна, устроит меня такая степень приближения или нет.",не устроит меня такая степень приближения,polarity_ellipsis,"[Михаил Арапов. Когда текст обретает смысл // «Знание -- сила», 2003]"
"Сделаем, уж извините, дорогие билеты и малую рекламу и посмотрим на этом примере, стоит ли самим заниматься такими ангажементами или нет __.",не стоит,polarity_ellipsis,"[Вячеслав Борисов. Это мама. Нина Хаген взорвет бункер // «Известия», 2002.10.13]"
"Пусть только США определятся, дадут они денег или нет __.",не дадут,polarity_ellipsis,"[Дмитрий Литовкин. Сроки подвига переносятся. Отечественное химоружие трудно уничтожить вовремя // «Известия», 2002.10.06]"
Президент просит принять нас окончательное разумное решение: будем мы заниматься этим вопросом — или нет __?,не будем мы заниматься этим вопросом,polarity_ellipsis,"[Андрей Митьков. «Принципиально вы должны занять позицию: Да или Нет...». Олимпийский комитет России отказывает Лазутиной и Даниловой в поддержке // «Известия», 2002.06.25]"
Володя никак не мог понять — надо делать этот шаг или нет __.,не надо делать этот шаг,polarity_ellipsis,[Сати Спивакова. Не всё (2002)]
Что сказал профессор? Он берется делать операцию или нет __? Кямал навел на Ирину свои голубые глаза и смотрел незамутненным взором.,не берется делать операцию,polarity_ellipsis,"[Токарева Виктория. Своя правда // «Новый Мир», 2002]"
"И непонятно, встретит ее Саша или нет __.",не встретит ее Саша,polarity_ellipsis,"[Токарева Виктория. Своя правда // «Новый Мир», 2002]"
"АВТОПИЛОТ»: Вы видите в венерических болезнях какой-то моральный смысл?  ВАСИЛЬЕВ: Наверное, нет __. Дело врача — лечить, а сначала правильно поставить диагноз.",не вижу в венерических болезнях какой-то моральный смысл,polarity_ellipsis,"[Сергей Шерстенников. Доктор твоего // «Автопилот», 2002.01.15]"
"Готовы ли мы раскрыть структуры собственности нашего предприятия? Конечно, нет __.",мы не готовы раскрыть структуры собственности нашего предприятия,polarity_ellipsis,"[Вами кто владеет? // «Дело» (Самара), 2002.07.17]"
"К сожалению, эти чувства врожденные.  Тут уж либо дано, либо нет __.  Да это даже полезно.",не дано,polarity_ellipsis,"[Вы над собой смеяться не боитесь? // «Дело» (Самара), 2002.05.03]"
"Любите ли вы оперы в концертном исполнении?  Подозреваю, что нет __. Меж тем именно так можно оценить красоту звука и голоса.",вы не любите оперы в концертном исполнении,polarity_ellipsis,"[Как весна, так все коты // «Домовой», 2002.03.04]"
Как только окончательно решился вопрос: стартовать в Москве или нет __.,не стартовать в Москве,polarity_ellipsis,"[Олег Лисогор: «Что толку мечтать? Работать надо!» // «Известия», 2002.04.02]"
"Он все знал про… про нас с… ну, ты понимаешь… Как ты думаешь, откуда он знал? — она впилась в меня напряженным взглядом. Ты ведь им не говорил?  Нет __, — я покачал головой. Конечно, нет __.",не говорил,polarity_ellipsis,[Вера Белоусова. Второй выстрел (2000)]
Петя умеет играть на гитаре. А Маша нет __.,не умеет играть на гитаре,polarity_ellipsis,original
Иван любит мороженое. А Катя нет __.,не любит мороженое,polarity_ellipsis,original
"Вчера было солнечно. А сегодня нет __. Может, завтра будет солнечно?",не было солнечно,polarity_ellipsis,original
— Ты пойдешь на концерт? — Нет __.,не пойду на концерт,polarity_ellipsis,original
"— Миша не хочет идти в кино. А Вика хочет?
— Вика — да __.",хочет идти в кино,polarity_ellipsis,original
"Это что, бунт? Будешь ты отвечать по-человечески или нет __?",не будешь ты отвечать по-человечески,polarity_ellipsis,[Вера Белоусова. Второй выстрел (2000)]
"Так я и не понял, поверил я ей или нет __.",не поверил,polarity_ellipsis,[Вера Белоусова. Второй выстрел (2000)]
"У тебя либо есть данные, либо нет __.",данных,polarity_ellipsis,original
Ты пойдешь в кино? Да __.,я пойду в кино,polarity_ellipsis,original
Он уже пришел? Еще нет __.,он еще не пришел,polarity_ellipsis,original
"— Ты видел этот фильм?
— Конечно __!",я видел этот фильм,polarity_ellipsis,original
"— Ты сделал домашку?
— Да __.",я сделал домашку,polarity_ellipsis,original
"— Ты хочешь чай?
— Нет __.",я не хочу чай,polarity_ellipsis,original
"— Они придут завтра?
— Наверное, да __.",они придут завтра,polarity_ellipsis,original
"— Ты не забыл ключи?
— Конечно нет __!",я не забыл ключи,polarity_ellipsis,original
"— Тебе понравился фильм?
— Да __.",мне понравился фильм,polarity_ellipsis,original
"— Ты не против, если я возьму твою ручку?
— Нет __.",я не против если ты возьмешь мою ручку,polarity_ellipsis,original
"— Петя уже уезжает?
— Пока нет __.",Петя не уезжает,polarity_ellipsis,original
"— Ты уверен, что это правильно?
— Да __.",уверен что правильно,polarity_ellipsis,original
"— Никто не звонил?
— Нет __.",никто не звонил,polarity_ellipsis,original
"— Ты уже посоветовался с Ваней и Леной?
— С Ваней да __, а с Леной еще нет __.","посоветовался, не посоветовался",polarity_ellipsis,original
"— Вы гуляли?
— Я гулял, а Петя нет __.",не гулял,polarity_ellipsis,original
"Витя снимал Сидорова часто, а Игорь нет __.",не снимал Сидорова часто,polarity_ellipsis,original
"Испекли ли дети кексы по рецепту? Маша нет __, а остальные да __.","не испекла кексы по рецепту, испекли кексы по рецепту",polarity_ellipsis,"Kasenov, D., & Rudnev, P. (2024). Experimental evidence against verb-stranding VP ellipsis in Russian."
"Проверяют ли преподы вашу домашку? Петр Степанович не проверяет __, а остальные да __. ","нашу домашку, проверяют нашу домашку","NP-ellipsis, polarity_ellipsis","Kasenov, D., & Rudnev, P. (2024). Experimental evidence against verb-stranding VP ellipsis in Russian."
"А: Шутят ли ваши преподы на занятиях несмешно?
В: Максим Юрьевич не шутит, а остальные да __.",шутят на занятиях несмешно,polarity_ellipsis,"Kasenov, D., & Rudnev, P. (2024). Experimental evidence against verb-stranding VP ellipsis in Russian."
"Может ли так быть, что Максим Юрьевич любит травить анекдоты во время занятий?
Нет __.",не может так быть что Максим Юрьевич любит травить анекдоты во время занятий,polarity_ellipsis,"Kasenov, D., & Rudnev, P. (2024). Experimental evidence against verb-stranding VP ellipsis in Russian."
"A: Дети ведут себя плохо?
B: Маша нет __, а Петя да __.","не ведет себя плохо, ведет себя плохо",polarity_ellipsis,"Kasenov, D., & Rudnev, P. (2024). Experimental evidence against verb-stranding VP ellipsis in Russian."
"A: Вы считаете меня дураком?
B: Я нет __, а Петя да __.","не считаю вас дураком, считает вас дураком",polarity_ellipsis,"Kasenov, D., & Rudnev, P. (2024). Experimental evidence against verb-stranding VP ellipsis in Russian."
— Ты пойдёшь в кино? — Да __.,пойду в кино,polarity_ellipsis,original
Ты уже сдал экзамен? Еще нет __.,не сдал экзамен,polarity_ellipsis,original
"— Ты сделал домашку? — Нет, ещё нет __.",не сделал домашку,polarity_ellipsis,original
— Ты будешь на вечеринке? — Конечно __!,буду на вечеринке,polarity_ellipsis,original
"Петя пришел, а Вася нет __.",не пришел,polarity_ellipsis,"Kazenin, I. (?). Polarity in Russian and Typology of Predicate Ellipsis"
"Вы считаете, что мне подходит это платье? Если честно, нет __.",не считаю что вам подходит это платье,polarity_ellipsis,original
Уже нашли вора? Или еще нет __?,не нашли вора,polarity_ellipsis,original
"До Пети мое письмо дошло, поэтому странно, что до Коли еще нет __.",письмо не дошло,polarity_ellipsis,"Kazenin, I. (?). Polarity in Russian and Typology of Predicate Ellipsis"
"Они могут позвать Колю, а Петю нет __.",не могут позвать,polarity_ellipsis,"Kazenin, I. (?). Polarity in Russian and Typology of Predicate Ellipsis"
"Коля придет? Я думаю, что нет __.",не придет,polarity_ellipsis,"Kazenin, I. (?). Polarity in Russian and Typology of Predicate Ellipsis"
Ты любишь музыку? Нет __.,не люблю музыку,polarity_ellipsis,"Kazenin, I. (?). Polarity in Russian and Typology of Predicate Ellipsis"
Пойдет ли Маша в кино? Она да __.,пойдет в кино,polarity_ellipsis,"Kazenin, I. (?). Polarity in Russian and Typology of Predicate Ellipsis"
— Ты уже поужинал? — Ещё нет __.,не поужинал,polarity_ellipsis,original
"Ты будешь есть обед? Спасибо, но нет __.",не буду есть обед,polarity_ellipsis,original
"Ты хочешь чаю? Спасибо, но нет __.",не хочу чаю,polarity_ellipsis,original
Вы используете эмодзи при общении с начальством? Конечно нет __.,не использую эмодзи при общении с начальством,polarity_ellipsis,original
Ты уже успел устать? Конечно нет __.,я не успел устать,polarity_ellipsis,original
— Ты поддерживаешь их? — Ни в коем случае нет __!,я их не поддерживаю,polarity_ellipsis,original
"— Ты был в Париже? — К сожалению, нет __.",я не был в Париже,polarity_ellipsis,original
"— Ты веришь ему? — Конечно, нет __.",я ему не верю,polarity_ellipsis,original
— Ты закончил? — Ещё нет __.,не закончил,polarity_ellipsis,original
"Мы их проверяем и в случае необходимости вносим свои предложения о выявленных противоречиях. С нами либо соглашаются, либо нет __. В зависимости от этого мы вносим либо представление, либо протест.",не соглашаются,polarity_ellipsis,"[Людмила Пирогова. «Смысл добиваться правды есть всегда…» (2003) // «Встреча» (Дубна), 23.04.2003]"
"Вспомните хотя бы известную шутку: Какова вероятность того, что я встречу на улице динозавра?» — «50 на 50!» — «Это почему?» — «Ну как почему?  Либо встретишь, либо нет __!»  На самом деле мы понимаем, что вероятность встретить свободно разгуливающего по улице динозавра равна нулю, ибо их нет в живых, к сожалению.",не встретишь,polarity_ellipsis,[Никита Непряхин. Анатомия заблуждений (2017-2020)]
"Здесь расчеты простые — либо это удовлетворяет твоим финансовым параметрам, либо нет __.",не удовлетворяет твоим финансовым параметрам,polarity_ellipsis,"[Отклоненные запросы (2003) // «Рекламный мир», 28.04.2003]"
"Я не пугаюсь, когда наблюдаю себя на экране, — говорит Моника. Роли мне либо нравятся, либо нет __. Но это своеобразные уроки жизни, которые надо спокойно воспринимать и, если в них есть ошибки, исправлять.",не нравятся,polarity_ellipsis,"[Елена Жарова. Четыре стихии Моники Беллуччи (2002) // «Домовой», 04.08.2002]"
"Одно из двух: либо я сотрудничаю с вами, либо нет __.",не сотрудничаю с вами,polarity_ellipsis,"[Владимир Маккавеев. «Большой приз» Джона Франкенхаймера (2002) // «Формула», 15.02.2002]"
"На следующий год будут другие обязательства, и мы либо подписываем их, либо нет __.",не подписываем,polarity_ellipsis,"[Юлия Торгашева. «Ваше место займет другой» (2002) // «Дело» (Самара), 26.05.2002]"
"Ты пытаешься спасти «потом». Которое еще либо случится, либо нет __. У нас может испортиться машина.",не случится,polarity_ellipsis,"[Игорь Ефимов. Суд да дело // «Звезда», 2001]"
Первая встреча была разведочная — Юрий Иванович выяснял мое политическое кредо: пускать меня в Хельсинки и в Стокгольм либо нет __?,не пускать,polarity_ellipsis,"[Владимир Соловьев. Три еврея, или Утешение в слезах. Роман с эпиграфами (1975-1998)]"
"После прохождения такой процедуры собственники либо перерегистрируются, либо нет __.",не перерегистрируются,polarity_ellipsis,"[И. Савватеева. Пока не приватизирован Кремль // «Комсомольская правда», 1991]"
"Но говорить о Цветаевой, об отмене пережиточных форм “наблюдения” — это значит говорить обо всем главном, ведь речь идет о гласности или безгласности, о литературе и журналистике, которые либо будут нести огромную благотворную службу, либо нет __.",не будут нести огромную благотворную службу,polarity_ellipsis,"[А. Т. Твардовский. Рабочие тетради (1962) // «Знамя», 2000]"
"Я играю в футбол, а ты нет __.",не играешь в футбол,polarity_ellipsis,original
"Петя любит Нину, а Ваня нет __.",не любит Нину,polarity_ellipsis,original
"Ты думал, что всё будет просто? А вот и нет __.",не будет,polarity_ellipsis,original
Всё закончилось на этом? А вот и нет __.,не закончилось,polarity_ellipsis,original
"- Волга впадает в Каспийское море.
- Да не __.
- А вот и да __.","не впадает в Каспийское море, впадает в Каспийское море",polarity_ellipsis,original
"Виктор, вы вообще собираетесь доделывать проект? Если честно, то нет __.",не собираюсь доделывать проект,polarity_ellipsis,original
"Ваня успеет на поезд? Мы все надеемся, что да __.",Ваня успеет на поезд,polarity_ellipsis,original
У тебя получилось включить программу? Все еще нет __.,не получается включить программу,polarity_ellipsis,original
Ты знаешь пароль от вайфая? Нет __.,не знаю пароль от вайфая,polarity_ellipsis,original
Андрей заходил в HR-отдел или Виктор __?,заходил в HR-отдел,stripping,original
Оля прочитала книгу или Таня __?,прочитала книгу,stripping,original
Женя нарисовал картину или Миша __?,нарисовал картину,stripping,original
Юра забил гол или Слава __?,забил гол,stripping,original
"Он прочитал «Войну и мир», а она – __ «Мастера и Маргариту».",прочитала,stripping,original
Что делают Ира и Настя? __ Читают книги.,Ира и Настя,answer ellipsis,original
Что купил Иван? __ Машину.,Иван купил,answer ellipsis,original
Куда ты собираешься пойти? __ В магазин.,Я собираюсь пойти,answer ellipsis,original
Какие листья упали с деревьев осенью? __ Желтые.,листья упали с деревьев осенью,answer ellipsis,original
Почему ты не пришел? __ Был занят.,Я не пришел потому что,answer ellipsis,original
Как он сюда попал? __ Через окно.,Он сюда попал,answer ellipsis,original
Какой это этаж? Третий __.,этаж,answer ellipsis,original
Где они живут? __ В Париже.,они живут,answer ellipsis,original
Когда начинается урок? __ В 9 утра.,урок начинается,answer ellipsis,original
Что она купила? __ Новое платье.,она купила,answer ellipsis,original
Кому он звонит? __ Мише.,он звонит,answer ellipsis,original
На чём они поедут? __ На поезде.,они поедут,answer ellipsis,original
Где мы встретимся? __ В кафе.,мы встретимся,answer ellipsis,original
Почему она выбрала этот телефон? __ Из-за камеры.,она выбрала этот телефон,answer ellipsis,original
Куда они летят завтра? __ В Турцию.,они летят завтра,answer ellipsis,original
Что она хочет на день рождения? __ Велосипед.,она хочет на день рождения,answer ellipsis,original
Кто работает в больнице? Алихан __.,работает в больнице,answer ellipsis,original
Что ты обычно ешь на завтрак? __ Омлет.,я обычно ем на завтрак,answer ellipsis,original
Где стоит холодильник? __ На кухне.,холодильник стоит,answer ellipsis,original
Когда ты ложишься спать? __ В 11 вечера.,холодильник стоит,answer ellipsis,original
Откуда ты приехал? __ Из Германии.,я приехал,answer ellipsis,original
Куда он положил ключи? __ На стол.,он положил ключи,answer ellipsis,original
Чей это кот? __ Петин __.,"это, кот",answer ellipsis,original
Где он был вчера вечером? __ В кино.,он был вчера вечером,answer ellipsis,original
Когда она приедет? __Утром.,она приедет,answer ellipsis,original
Сколько человек придёт на вечеринку? Десять человек __.,придёт на вечеринку,answer ellipsis,original
Как долго он учит русский язык? __ Два года.,он учит русский язык,answer ellipsis,original
Как часто он ходит в спортзал? __ Три раза в неделю.,он ходит в спортзал,answer ellipsis,original
На чём ты добираешься до работы? __ На автобусе.,я добираюсь до работы,answer ellipsis,original
Сколько чашек кофе бариста выпивает за день? __ Пять чашек кофе.,бариста выпивает за день,answer ellipsis,original
До какого часа Петя будет в офисе завтра? __ До семи часов.,Петя будет в офисе завтра,answer ellipsis,original
Что он пытался сделать? __ Починить машину.,он пытался,answer ellipsis,original
Что ты купил в магазине? __ Хлеб и молоко.,я купил в магазине,answer ellipsis,original
Где стоит новый магазин? __ Напротив парка., новый магазин стоит,answer ellipsis,original
Почему он опоздал? __ Потому что проспал.,он опоздал,answer ellipsis,original
Как можно добраться до вокзала? __ На автобусе номер 5.,можно добраться до вокзала,answer ellipsis,original
Сколько стоит эта книга? __ Двести рублей.,эта книга стоит,answer ellipsis,original
Кому он позвонил? __ Своей подруге.,он позвонил,answer ellipsis,original
Чей это кот? __ Моей соседки.,это кот,answer ellipsis,original
Какой фильм он смотрел? __ Новый боевик.,он смотрел,answer ellipsis,original
Кому он подарил цветы? __ Сестре.,он подарил цветы,answer ellipsis,original
О ком он говорил вчера? __ О нашем учителе.,он говорил вчера,answer ellipsis,original
"Кто из твоих друзей свободно говорит по-китайски?
Только Лена __ — она училась в Шанхае два года.",свободно говорит по-китайски,answer ellipsis,original
Что директор обсуждал с коллегами на совещании? __ Бюджет на следующий квартал и новые проекты.,директор обсуждал с коллегами на совещании,answer ellipsis,original
"Что его больше всего удивило в этой книге? __ То, как автор описывает будущее — очень неожиданно и реалистично.",его больше всего удивило в этой книге,answer ellipsis,original
"Где мы оставили ключи от машины вчера вечером? __ На кухонном столе, но я точно не помню.",мы оставили ключи от машины вчера вечером,answer ellipsis,original
"Где ты хочешь провести отпуск в этом году? __ В Грузии — там и горы, и море, и потрясающая кухня.",я хочу провести отпуск в этом году,answer ellipsis,original
Кто же с собакой гулять будет? Павел __!,с собакой гулять будет,answer ellipsis,original
На ком Сережа женился? __ На своей подруге детства.,Сережа женился,answer ellipsis,original
Кому он должен денег? __ Ване.,он должен денег,answer ellipsis,original
Какую школу он закончил? __ Лицей НИУ ВШЭ.,он закончил,answer ellipsis,original
